"topic_id","description","link","members","topic_name","urlkey","main_topic_id"
"681","Meet others in your local area that are interested in various forms of Martial Arts.  Disuss your level and skill.","http://martial.meetup.com/","213559","Martial Arts","martial","1502"
"702","Meet other local fans of Industrial music.","http://industrial.meetup.com/","6085","Industrial","industrial","1924"
"708","Join with the with others interested in Found Art to share ideas, experiences, and techniques for making and sharing art.","http://foundart.meetup.com/","1156","Found Art","foundart","1502"
"728","Meet other enthusiasts of the video game Dance Dance Revolution.","http://ddr.meetup.com/","5736","Dance Dance Revolution","ddr","491"
"763","Meet other local Sport Bike owners, riders, and enthusiasts.  All Suzukis, Hondas, Yamahas; whatever revs your engine are welcome! Meetup to talk about it. Vrooom!","http://sportbikes.meetup.com/","140140","Sport Bikes","sportbikes","10451"
"844","Meet other local students, teachers, and fluent signers of ASL.","http://asl.meetup.com/","48991","American Sign Language","asl","10454"
"862","Want to practice your Korean? Meetup with others in your area who are also interested in the Korean language. All ages and levels of proficiency are welcome!","http://korean.meetup.com/","506164","Korean Language","korean","10454"
"982","Meet local Russian language and culture lovers! Have fun practicing, learning new phrases and sentences and finally understanding those verb conjugations! All ages and levels welcome.","http://russian.meetup.com/","210810","Russian Language","russian","10454"
"1036","Meet other local mail artists: postcardX,1000 Journals, nervousness, 20things. If you run to your mailbox everyday, if you keep your eyes peeled for art around town, come on and join.","http://comart.meetup.com/","803","Community/Mail Art","comart","1502"
"1201","Meet other local Movie Fans!  Get together once a month to plan movie outings and discuss the hot movies of the month.","http://movies.meetup.com/","2595617","Watching Movies","movies","1201"
"1223","Meet other local people interested in implementing or learning about corporate, values-based decision making.","http://csr.meetup.com/","44272","Corporate Social Responsibility","csr","10581"
"1502","Meet with others in your local area who love Art.  All forms of Art, including painters, photographers, sculptors, conceptual artists, performance artists, filmmakers, graphic designers, etc. to discuss techniques, share critiques, and offer gallery/exhibiting advice.","http://art.meetup.com/","3187603","Art","art","1502"
"1621","Meet other parents who don't take the easy way out of parenting.  Whether supporters of Breastfeeding, Child Led Weaning, Cloth diapering, Homeschooling, Babywearing, or Co-sleeping all are welcome here.","http://attachmentparenting.meetup.com/","28847","Attachment Parenting","attachmentparenting","10333"
"1665","Meet other local Socialists to discuss organizing society on the basis of need, not greed.","http://socialism.meetup.com/","15111","Socialism","socialism","10581"
"1677","Meet with other local Special Education parents and educators.  Gather to discuss issues facing special education students and programs.","http://specialed.meetup.com/","55249","Special Education","specialed","8476"
"1699","Meet other local artists who work with stained glass, hot glass, glass etchings, glass jewelry and other tpyes of Glass Art to discuss techniques, trade tips, and share pictures.","http://glassart.meetup.com/","14295","Glass Art","glassart","1502"
"1849","Meet other local teen parents to get support and meet new friends! You can even find friends for your little ones!","http://teenparents.meetup.com/","746","Teen Parents","teenparents","10333"
"1924","Meet other local fashion industry insiders.  Whether stylists, designers or makeup artists, this Meetup is for you.","http://fashion.meetup.com/","519740","Fashion Industry","fashion","1924"
"1948","Meet other local Spiritualists to discuss afterlife, divine energy in nature, existence of soul, and meditation.","http://spiritualism.meetup.com/","460685","Spiritualism","spiritualism","10290"
"2039","Meet other local people to swap old computer and video games. Fun for all ages.","http://game-swap.meetup.com/","4433","Game-Swap","game-swap","15992"
"2095","Meet and mingle with local Thai language and culture lovers!  Find other local people who are interested in learning, practicing or teaching Thai.","http://thai.meetup.com/","34221","Thai Language and Culture","thai","10454"
"2303","Meet other local Step-Parents to share the challenges and rewards of step-parenting.","http://stepparent.meetup.com/","7243","Step-Parents","stepparent","10333"
"2369","Meet other local cosmetologists, stylists, colorists, makeup artists, estheticians, and all beauty industry professionals.","http://beautyindustry.meetup.com/","184812","Beauty Industry","beautyindustry","1924"
"2396","Meet other local artists who make and bind journals, blank books, and photo albums by hand, using a variety of media. Learn bookmaking techniques, share ideas, artwork, and skills.","http://bookarts.meetup.com/","4794","Book Arts","bookarts","1502"
"3009","Meetup to discuss, promote, and practice Swing Dancing.  Share your love for swing dancing and music: 6 Count Swing, Lindy Hop, Balboa, Shag, Charleston, etc.","http://swingdancing.meetup.com/","475391","Swing Dancing","swingdancing","491"
"3066","Meet other local Music Therapists and Patients.  All those who believe in music's power to heal are welcome.","http://musictherapy.meetup.com/","17339","Music Therapy","musictherapy","15018"
"3143","Meet other Artistic Parents in your area!  Trying to juggle everything and give your art work some priority?  Meet and discuss techniques with other parents who create art.","http://artparent.meetup.com/","2805","Artistic Parents","artparent","10333"
"3584","Meet other local metal sculpture artists.  Discuss the various methods and techniques of sculpting metal and alloys.","http://metalart.meetup.com/","12569","Metal Arts","metalart","1502"
"3586","Meet others in your local area who are interested in discussing Online Education.","http://onlineed.meetup.com/","76604","Online Education","onlineed","8476"
"3888","Meet other local Jewish Parents and families.  Discuss issues related to raising a Jewish family.","http://jewishparenting.meetup.com/","12008","Jewish Parenting","jewishparenting","10333"
"3989","Meet other local Textile Artists, including dying, tie-dying, fabric printing, and all who work with textile art.","http://textilearts.meetup.com/","14502","Textile Arts","textilearts","1502"
"3998","Meet other local Ballroom Dancers!","http://ballroomdance.meetup.com/","727359","Ballroom Dancing","ballroomdance","491"
"4213","Meet other local Social Workers.  Both those who currently work in the field and those who are thinking about and/or pursuing a career in Social Work are welcome.","http://socialwork.meetup.com/","20031","Social Work","socialwork","10581"
"4253","Meet other local people interested in a discussion about the technology and social impacts of Social Software.","http://socialsoftware.meetup.com/","49456","Social Software","socialsoftware","10581"
"4422","Meet fellow Social Networkers near you! Come to a local Social Networking Meetup to make valuable social connections and cultivate relationships with other elbow-rubbers in your area.","http://socialnetwork.meetup.com/","23320779","Social Networking","socialnetwork","10581"
"4499","Meet other locals who share your appreciation of the campy and kitschy nature of B-Movies!","http://b-movies.meetup.com/","61771","B-Movies","b-movies","1201"
"6392","Meet other local fans of Musicals!  All who love this genre of film and theater are welcome to join!","http://musicals.meetup.com/","95783","Musicals","musicals","15018"
"6613","Meet other local people who are interested in the Social Enterprise, an organization that mobilizes non-profits and funders to advance earned income strategies in support of their charitable missions.  Share and discuss strategies with other social entrepreneurs!","http://sealliance.meetup.com/","243773","Social Enterprise","sealliance","10581"
"6828","Meet other local women who are interested in the world of Women's Sports.  All those who participate, or who would like to participate, in all-women's sport teams are welcome!","http://womensports.meetup.com/","117930","Women's Sports","womensports","10451"
"7033","Meet other local Educational Tutors.  Gather and exchange ideas, methods, and successes with one another.","http://tutor.meetup.com/","7110","Educational Tutor","tutor","8476"
"7117","Meet other local fans of Chamber Music.  Gather and share concert experiences, schedules, etc. with other fans!","http://chamber.meetup.com/","95047","Chamber Music","chamber","15018"
"7203","Meet other local people who are interested in a discussion on the issue of Education & Technology.  Gather and trade ideas on how to bring the latest technology into our schools and businesses.","http://edtech.meetup.com/","2258424","Education & Technology","edtech","9696"
"7659","Meet other local fans of Lesbian Literature.  Chat about and discover new authors and books while meeting fellow bookworms!","http://lesbianlit.meetup.com/","39189","Lesbian Literature","lesbianlit","15321"
"7670","Meet other local fans of New Age Literature.  Discuss a variety of topics, such as new age authors, books, and spiritual teachings.","http://newagelit.meetup.com/","5603","New Age Literature","newagelit","15321"
"7743","Meet other local gay men and women who are raising children.  Discuss important topics, such as coming out to your children, handling your child's peer concerns, school activism, playgroups, issues encountered in straight neighborhoods, bridging the gap for kids, etc.","http://gayparents.meetup.com/","47394","Gay Parents","gayparents","10333"
"7927","Meet other local people who are involved in the Adult Entertainment Industry.","http://adultent.meetup.com/","17258","Adult Entertainment Industry","adultent","1924"
"8476","Meet others in your local area who are interested in Education.  Gather to discuss various educational topics and opportunities.","http://education.meetup.com/","682660","Education","education","8476"
"8687","Meet other Art Therapists and/or those who are studying Art Therapy.  Gather to network and share experiences and advice.","http://arttherapy.meetup.com/","45844","Art Therapy","arttherapy","1502"
"9255","Meet other local Art History enthusiasts.  Gather and talk about everything from prehistorical art to postmodernism.","http://arthistory.meetup.com/","46763","Art History","arthistory","1502"
"9696","Meet with local people to discuss and show-and-tell new technology.","http://newtech.meetup.com/","8734985","New Technology","newtech","9696"
"9753","Meet with other people who are interested in Off Leash Dog Recreation in your local area.  Gather and discuss this growing trend with other dog enthusiasts!  Bring your dogs!","http://offleash.meetup.com/","270373","Off-Leash Dog Recreation","offleash","10451"
"9792","Meet with other local Card Game Enthusiasts!  Gather with others who love playing card games of all types!","http://cardgame.meetup.com/","1273072","Card Games","cardgame","15992"
"9859","Meet with other local people who are interested in Sports Business careers.  Gather to network and discuss this exciting career!","http://sportsbiz.meetup.com/","7392","Sports Business","sportsbiz","10451"
"9931","Meetup with other local people who love Line Dancing!  Gather to show off your best moves!","http://linedancing.meetup.com/","78961","Line Dancing","linedancing","491"
"9944","Meetup with other local people who are interested in speaking and practicing  the Basque Language!","http://basque.meetup.com/","1439","Basque Language & Culture","basque","10454"
"10050","Meet with other members and supporters of your local Lesbian, Gay, Bisexual, and Transgender Community.  Gather to share and make friends!","http://lgbtfriends.meetup.com/","1473137","LGBT","lgbtfriends","10050"
"10060","Meet other Stay at Home Moms and Dads!  Gather with other local Stay at Home Parents to share experiences or arrange playtimes.   Kids are welcome!","http://sahp.meetup.com/","83324","Stay at Home Parents","sahp","10333"
"10099","Are you a Knitter who wants to learn embroidery or a Jewelry maker who wants to learn Ceramics?  Meet other local Craft Makers to trade ideas and show off your Creations!  Craft makers of all types are welcome!","http://craftswap.meetup.com/","1057069","Crafts","craftswap","10099"
"10122","Meet other locals who are interested in the history and culture of Puerto Rico.","http://prculture.meetup.com/","32033","Puerto Rican Culture","prculture","10454"
"10153","Meet other locals to discuss and celebrate Greek Culture, History, and Language. Both those Greeks and non-Greeks are welcome!","http://greekculture.meetup.com/","10489","Greek Culture","greekculture","10454"
"10183","Meet other locals interested in Celtic Culture.  Gather to discuss Celtic origins, history, art and music.","http://celticculture.meetup.com/","27015","Celtic Culture","celticculture","10454"
"10209","Meet others interested in all aspects of Web Technology.  Gather to discuss Development, Standards, Networks, Marketing, New Web Technology, Graphic Design, Databases, Corporate Web, Webmasters, Contract Development, Promotion and Business. Open to anyone interested in learning more about web technology!","http://web.meetup.com/","6848744","Web Technology","web","9696"
"10228","Gather with other locals who want to participate in story telling or collaborative visual and performance art projects!  Whether you're telling a story, painting a mural, putting on a musical performance, or just sharing ideas, meet others who want to get together and make art!","http://groupart.meetup.com/","321573","Group Art","groupart","1502"
"10232","Meet other women in your community for friendship!  Gather with women in your local area who share the same goals and interests as you.  Join a Meetup Group near you to see what activities are planned -- dining out, movies, dancing, drinks or just out having a ball.  The possibilities are endless...","http://women.meetup.com/","5827554","Women's Social","women","10581"
"10249","Meet other locals who provide a professional service of creating and developing concepts and specifications that optimize the function, value, style and appearance of products and systems for the mutual benefit of both user and manufacturer.","http://inddesign.meetup.com/","105116","Industrial Design","inddesign","1924"
"10269","Meet with others in the Entertainment Industry (musicians, actors, models, you name it!) to brainstorm and share ideas, to network with others in the community.","http://entertain.meetup.com/","324516","Entertainment Industry","entertain","1924"
"10290","Meet other locals to discuss your spiritual path.  Share your most profound and transformational personal experiences and talk about ways to incorporate spirituality into your life. Open to people of all faiths and cultures!","http://spirituality.meetup.com/","7250566","Spirituality","spirituality","10290"
"10306","Meet other locals to discuss the overall application and development of a lifestyle that maintains your overall health and well-being.   Gather to discuss the effect of such things as Sleep, Environment, Fitness, and Nutrition on one's wellness.","http://wellness.meetup.com/","7957672","Wellness","wellness","10306"
"10333","Meetup parents in your local area that want to get out and live life while raising children.","http://parents.meetup.com/","755858","Parents","parents","10333"
"10420","Meet with others in your local area who have suffered the Loss of a Pet.  Discuss ways to cope and moving on.","http://petloss.meetup.com/","542","Pet Loss","petloss","53052"
"10451","Meet other people to watch and play sports!","http://sports.meetup.com/","4392504","Sports and Recreation","sports","10451"
"10454","Meet others in your local area who share an enjoyment for a specific Language and Culture.  Experience cultural activities and make new friends!","http://language.meetup.com/","6519647","Language & Culture","language","10454"
"10573","Meet others in your local area interested in the Lao Language and Culture.  Enjoy ethnic food, speak the language and make new friends!","http://lao.meetup.com/","6","Lao Language & Culture","lao","10454"
"10574","Meet other people interesting in arts & entertainment!","http://arts.meetup.com/","916524","Arts & Entertainment","arts","1502"
"10579","Meetup with other people interested in the internet and technology!","http://technology.meetup.com/","4236634","Technology","technology","9696"
"10581","Meet and hang out with other social people just like you!  Let's socialize!","http://social.meetup.com/","25318915","Social","social","10581"
"10923","not_found","http://appassionati-di-sport.meetup.com/","0","Appassionati di Sport","appassionati-di-sport","10451"
"11372","not_found","http://sviluppo-video-games.meetup.com/","0","Sviluppo Video Games","sviluppo-video-games","15992"
"11516","not_found","http://arte-trovata-per-caso.meetup.com/","0","Arte Trovata per Caso","arte-trovata-per-caso","1502"
"11681","not_found","http://parents-conscients-paiens.meetup.com/","0","Parents conscients païens","parents-conscients-paiens","10333"
"11713","not_found","http://comunita-mail-art.meetup.com/","0","Comunità/Mail Art","comunita-mail-art","1502"
"11824","not_found","http://responsabilita-sociale-delle-imprese.meetup.com/","0","Responsabilità Sociale Delle Imprese","responsabilita-sociale-delle-imprese","10581"
"12172","not_found","http://arte-del-vetro.meetup.com/","0","Arte del Vetro","arte-del-vetro","1502"
"12581","not_found","http://music-acustica.meetup.com/","0","Music Acustica","music-acustica","15018"
"12671","not_found","http://arte-del-libro.meetup.com/","0","Arte del Libro","arte-del-libro","1502"
"13134","not_found","http://arte-del-metallo.meetup.com/","0","Arte del Metallo","arte-del-metallo","1502"
"13187","not_found","http://parent-de-substitution.meetup.com/","0","Parent de Substitution","parent-de-substitution","10333"
"13250","not_found","http://arte-tessile.meetup.com/","0","Arte Tessile","arte-tessile","1502"
"13339","not_found","http://lavoro-sociale.meetup.com/","0","Lavoro Sociale","lavoro-sociale","10581"
"13349","not_found","http://software-sociale.meetup.com/","0","Software Sociale","software-sociale","10581"
"13416","not_found","http://timidezza-e-fobia-sociale.meetup.com/","0","Timidezza e Fobia Sociale","timidezza-e-fobia-sociale","10581"
"13650","not_found","http://art-improvise.meetup.com/","0","Art improvisé","art-improvise","1502"
"13759","not_found","http://arte-dellassemblaggio.meetup.com/","0","Arte dell'Assemblaggio","arte-dellassemblaggio","1502"
"14122","not_found","http://sport-business.meetup.com/","1792","Sport Business","sport-business","10451"
"14390","not_found","http://circolo-sociale-degluomini.meetup.com/","0","Circolo Sociale degl'Uomini","circolo-sociale-degluomini","10581"
"14393","not_found","http://social-masculino.meetup.com/","0","Social masculino","social-masculino","10581"
"14411","not_found","http://gaming-on-line.meetup.com/","12","Gaming On Line","gaming-on-line","15992"
"14547","not_found","http://sport-e-ricreazione.meetup.com/","41","Sport e Ricreazione","sport-e-ricreazione","10451"
"14657","not_found","http://sociale.meetup.com/","3343","Sociale","sociale","10581"
"15002","not_found","http://east-asian-history-and-culture.meetup.com/","15334","East Asian History and Culture","east-asian-history-and-culture","10454"
"15018","not_found","http://music.meetup.com/","3367087","Music","music","15018"
"15028","not_found","http://italian-culture.meetup.com/","211991","Italian Culture","italian-culture","10454"
"15043","not_found","http://photography-classes.meetup.com/","1693945","Photography Classes","photography-classes","223"
"15046","not_found","http://outdoors.meetup.com/","14693182","Outdoors","outdoors","15046"
"15073","not_found","http://communication-social-skills.meetup.com/","44631","Communication, Social Skills","communication-social-skills","10581"
"15079","not_found","http://african-dance.meetup.com/","53674","African Dance","african-dance","491"
"15081","not_found","http://hiphop-and-r-b-music.meetup.com/","33461","HipHop and R&B Music","hiphop-and-r-b-music","15018"
"15115","not_found","http://recession-sports.meetup.com/","0","Recession Sports","recession-sports","10451"
"15125","not_found","http://food-fun-fellowship-fresh-gospel-music-se-atl.meetup.com/","0","Food, Fun, Fellowship, Fresh Gospel Music","food-fun-fellowship-fresh-gospel-music-se-atl","15018"
"15158","not_found","http://pole-dancing.meetup.com/","21570","Pole Dancing","pole-dancing","491"
"15179","not_found","http://sports-cars.meetup.com/","30918","Sports Cars","sports-cars","10451"
"15197","not_found","http://single-parents-of-toddlers.meetup.com/","8354","Single Parents of Toddlers","single-parents-of-toddlers","10333"
"15226","not_found","http://music-for-children.meetup.com/","3883","Music for Children","music-for-children","15018"
"15250","not_found","http://thinking-about-socialism-in-the-21st-century.meetup.com/","0","Thinking About Socialism in The 21st Century","thinking-about-socialism-in-the-21st-century","10581"
"15254","not_found","http://science-and-spirituality.meetup.com/","45724","Science and Spirituality","science-and-spirituality","10290"
"15270","not_found","http://social-skill.meetup.com/","674","Social Skill","social-skill","10581"
"15321","not_found","http://literature.meetup.com/","863079","Literature","literature","15321"
"15322","not_found","http://creative-writing.meetup.com/","1074952","Creative Writing","creative-writing","16728"
"15370","not_found","http://computers-and-photography.meetup.com/","10382","Computers and Photography","computers-and-photography","223"
"15373","not_found","http://sharepoint-technologies.meetup.com/","28235","SharePoint Technologies","sharepoint-technologies","9696"
"15374","not_found","http://parenting-advice.meetup.com/","8939","Parenting Advice","parenting-advice","10333"
"15381","not_found","http://hiking-biking-outdoors-socials-for-over-40s.meetup.com/","43625","Hiking, Biking, Outdoors, Socials for Over 40's","hiking-biking-outdoors-socials-for-over-40s","15046"
"15401","not_found","http://social-media.meetup.com/","877639","Social Media","social-media","10581"
"15405","not_found","http://business-referral-networking.meetup.com/","3773057","Business Referral Networking","business-referral-networking","15236"
"15419","not_found","http://business-and-spirituality.meetup.com/","9006","Business and Spirituality","business-and-spirituality","10290"
"15421","not_found","http://work-and-spirituality.meetup.com/","330","Work and Spirituality","work-and-spirituality","10290"
"15468","not_found","http://health-wellness-and-image.meetup.com/","30812","Health, Wellness and Image","health-wellness-and-image","10306"
"15479","not_found","http://parents-of-teens.meetup.com/","19496","Parents of Teens","parents-of-teens","10333"
"15480","not_found","http://challenged-parents-of-teenagers.meetup.com/","643","Challenged Parents of Teenagers","challenged-parents-of-teenagers","10333"
"15487","not_found","http://yoga-dance-classes-with-world-music-meditations.meetup.com/","5192","Yoga Dance Classes with World Music, Meditations","yoga-dance-classes-with-world-music-meditations","15018"
"15489","not_found","http://yoga-dance-a-unique-movement-experience.meetup.com/","2218","Yoga Dance, a Unique Movement Experience","yoga-dance-a-unique-movement-experience","491"
"15498","not_found","http://business-networking-afv.meetup.com/","0","Business Networking AFV","business-networking-afv","15236"
"15514","not_found","http://mixed-martial-arts.meetup.com/","71214","Mixed Martial Arts","mixed-martial-arts","1502"
"15524","not_found","http://art-of-hosting.meetup.com/","538","Art of Hosting","art-of-hosting","1502"
"15526","not_found","http://nascar-watching-poker-playing-social-club.meetup.com/","0","Nascar Watching poker playing Social Club","nascar-watching-poker-playing-social-club","1201"
"15568","not_found","http://information-technology.meetup.com/","537576","Information Technology","information-technology","9696"
"15579","not_found","http://college-parents.meetup.com/","4","College Parents","college-parents","10333"
"15635","not_found","http://wine-and-food-pairing.meetup.com/","1024315","Wine and Food Pairing","wine-and-food-pairing","19227"
"15654","not_found","http://life-science-industry-israel.meetup.com/","1641","Life Science Industry Israel","life-science-industry-israel","1924"
"15672","not_found","http://outdoor-fitness.meetup.com/","4754990","Outdoor  Fitness","outdoor-fitness","15046"
"15681","not_found","http://social-marketing.meetup.com/","10488","Social Marketing","social-marketing","10581"
"15720","not_found","http://professional-networking.meetup.com/","12134247","Professional Networking","professional-networking","15236"
"15731","not_found","http://group-photo-shoots.meetup.com/","972062","Group Photo Shoots","group-photo-shoots","223"
"15732","not_found","http://online-photo-discussions.meetup.com/","116","Online Photo Discussions","online-photo-discussions","223"
"15767","not_found","http://noise-music.meetup.com/","1786","noise music","noise-music","15018"
"15782","not_found","http://country-music.meetup.com/","36025","Country Music","country-music","15018"
"15786","not_found","http://working-parents.meetup.com/","58061","Working Parents","working-parents","10333"
"15813","not_found","http://winter-and-summer-sports.meetup.com/","50994","Winter and Summer Sports","winter-and-summer-sports","10451"
"15814","not_found","http://outdoor-lovers.meetup.com/","8275","Outdoor Lovers","outdoor-lovers","15046"
"15820","not_found","http://outdoor-indoor-pub-crawls.meetup.com/","24233","Outdoor/Indoor Pub Crawls","outdoor-indoor-pub-crawls","15046"
"15904","not_found","http://point-and-shoot-photography.meetup.com/","31553","Point and Shoot Photography","point-and-shoot-photography","223"
"15908","not_found","http://movimento-liberal-social.meetup.com/","1348","Movimento Liberal Social","movimento-liberal-social","10581"
"15921","not_found","http://technology-web-new-education-law.meetup.com/","0","Technology (web, New, Education, Law)","technology-web-new-education-law","9696"
"15922","not_found","http://technology-computer-forensics-data-recovery.meetup.com/","2547","Technology (Computer Forensics, Data Recovery)","technology-computer-forensics-data-recovery","9696"
"15923","not_found","http://technology-security-audits.meetup.com/","32820","Technology (Security, Audits)","technology-security-audits","9696"
"15940","not_found","http://movie-nights.meetup.com/","1513443","Movie Nights","movie-nights","1201"
"15958","not_found","http://rolemaster-gaming.meetup.com/","0","Rolemaster Gaming","rolemaster-gaming","15992"
"15961","not_found","http://music-knowledge.meetup.com/","211","Music Knowledge","music-knowledge","15018"
"15981","not_found","http://early-childhood-education.meetup.com/","13219","Early Childhood Education","early-childhood-education","8476"
"15987","not_found","http://western-martial-arts.meetup.com/","8764","Western Martial Arts","western-martial-arts","1502"
"15990","not_found","http://multi-sport.meetup.com/","19","Multi Sport","multi-sport","10451"
"15992","not_found","http://games.meetup.com/","1705191","Games","games","15992"
"16002","not_found","http://altered-art.meetup.com/","4939","Altered Art","altered-art","1502"
"16049","not_found","http://art-house.meetup.com/","9772","Art House","art-house","1502"
"16090","not_found","http://music-fashion.meetup.com/","12161","Music & Fashion","music-fashion","15018"
"16093","not_found","http://music-fashion-competition.meetup.com/","0","Music & Fashion Competition","music-fashion-competition","15018"
"16094","not_found","http://friday-night-socials.meetup.com/","95873","Friday Night Socials","friday-night-socials","10581"
"16128","not_found","http://labyrinths-scavenger-hunts-spirituality-dance.meetup.com/","0","Labyrinths, Scavenger Hunts, Spirituality, Dance","labyrinths-scavenger-hunts-spirituality-dance","10290"
"16129","not_found","http://parents-seeking-quality-child-care.meetup.com/","0","Parents Seeking Quality Child Care","parents-seeking-quality-child-care","10333"
"16145","not_found","http://social-connection-mentorship.meetup.com/","10896","Social Connection & Mentorship","social-connection-mentorship","10581"
"16162","not_found","http://social-network-for-outdoor-activities.meetup.com/","38068","Social Network For Outdoor Activities","social-network-for-outdoor-activities","15046"
"16181","not_found","http://socializing-for-40.meetup.com/","319057","Socializing for 40+","socializing-for-40","10581"
"16207","not_found","http://travel-photography.meetup.com/","848236","Travel Photography","travel-photography","223"
"16216","not_found","http://mobile-technology.meetup.com/","3734248","Mobile Technology","mobile-technology","9696"
"16232","not_found","http://outdoor-fun.meetup.com/","17889","Outdoor Fun","outdoor-fun","15046"
"16270","not_found","http://contemporary-art.meetup.com/","201651","Contemporary Art","contemporary-art","1502"
"16277","not_found","http://abstract-art.meetup.com/","18791","Abstract Art","abstract-art","1502"
"16282","not_found","http://game-engine.meetup.com/","135","Game Engine","game-engine","15992"
"16287","not_found","http://screen-writing.meetup.com/","10133","Screen Writing","screen-writing","16728"
"16305","not_found","http://glbt-spirituality.meetup.com/","3347","GLBT Spirituality","glbt-spirituality","10290"
"16307","not_found","http://roots-culture-music.meetup.com/","4172","Roots & Culture Music","roots-culture-music","10454"
"16311","not_found","http://what-to-see-movies-arts-entertainment.meetup.com/","1578","What to see: Movies, Arts & Entertainment","what-to-see-movies-arts-entertainment","1502"
"16326","not_found","http://facial-expressions-and-body-language.meetup.com/","1951","Facial Expressions and Body Language","facial-expressions-and-body-language","10454"
"16346","not_found","http://nature-crafts.meetup.com/","1590","Nature Crafts","nature-crafts","10099"
"16355","not_found","http://historic-european-martial-arts.meetup.com/","8391","Historic European Martial Arts","historic-european-martial-arts","1502"
"16372","not_found","http://christian-arts-community.meetup.com/","15","Christian Arts Community","christian-arts-community","1502"
"16376","not_found","http://discover-the-indian-spiritual-teacher-meher-baba.meetup.com/","0","Discover the Indian Spiritual Teacher Meher Baba","discover-the-indian-spiritual-teacher-meher-baba","10290"
"16377","not_found","http://spiritual-growth-with-the-teachings-of-meher-baba.meetup.com/","16","Spiritual Growth with the Teachings of Meher Baba","spiritual-growth-with-the-teachings-of-meher-baba","10290"
"16388","not_found","http://fiber-arts.meetup.com/","33289","Fiber Arts","fiber-arts","1502"
"16389","not_found","http://fine-arts.meetup.com/","921375","Fine Arts","fine-arts","1502"
"16425","not_found","http://roleplaying-games-rpgs.meetup.com/","577308","Roleplaying Games (RPGs)","roleplaying-games-rpgs","15992"
"16426","not_found","http://storytelling-games.meetup.com/","16403","Storytelling Games","storytelling-games","15992"
"16440","not_found","http://hindustani-classical-music.meetup.com/","1132","Hindustani Classical Music","hindustani-classical-music","15018"
"16459","not_found","http://handmade-crafts.meetup.com/","452731","Handmade Crafts","handmade-crafts","10099"
"16463","not_found","http://unemployed-hike-bike-camp-socialize-read.meetup.com/","0","Unemployed, Hike, Bike, Camp, Socialize, Read","unemployed-hike-bike-camp-socialize-read","10581"
"16505","not_found","http://swing-dance-lindy-blues-balboa-charleston.meetup.com/","35279","Swing Dance: Lindy, Blues, Balboa, Charleston","swing-dance-lindy-blues-balboa-charleston","491"
"16513","not_found","http://desi-and-international-music.meetup.com/","0","Desi and International Music","desi-and-international-music","15018"
"16514","not_found","http://investment-education.meetup.com/","75493","Investment Education","investment-education","8476"
